id	TARGET-40-0A4HLD-01A	TARGET-40-0A4HMC-01A	TARGET-40-0A4HX8-01A	TARGET-40-0A4HXS-01A	TARGET-40-0A4HY5-01A	TARGET-40-0A4I0Q-01A	TARGET-40-0A4I0S-01A	TARGET-40-0A4I0W-01A	TARGET-40-0A4I3S-01A	TARGET-40-0A4I42-01A	TARGET-40-0A4I48-01A	TARGET-40-0A4I4M-01A	TARGET-40-0A4I4O-01A	TARGET-40-0A4I5B-01A	TARGET-40-0A4I65-01A	TARGET-40-0A4I6O-01A	TARGET-40-0A4I8U-01A	TARGET-40-0A4I9K-01A	TARGET-40-PAKFVX-01A	TARGET-40-PAKXLD-01A	TARGET-40-PAKZZK-01A	TARGET-40-PALECC-01A	TARGET-40-PALFYN-01A	TARGET-40-PALHRL-01A	TARGET-40-PALKDP-01A	TARGET-40-PALKGN-01A	TARGET-40-PALWWX-01A	TARGET-40-PALZGU-01A	TARGET-40-PAMEKS-01A	TARGET-40-PAMHLF-01A	TARGET-40-PAMHYN-01A	TARGET-40-PAMJXS-01A	TARGET-40-PAMLKS-01A	TARGET-40-PAMRHD-01A	TARGET-40-PAMTCM-01A	TARGET-40-PAMYYJ-01A	TARGET-40-PANGPE-01A	TARGET-40-PANGRW-01A	TARGET-40-PANMIG-01A	TARGET-40-PANPUM-01A	TARGET-40-PANSEN-01A	TARGET-40-PANVJJ-01A	TARGET-40-PANXSC-01A	TARGET-40-PANZHX-01A	TARGET-40-PANZZJ-01A	TARGET-40-PAPIJR-01A	TARGET-40-PAPKWD-01A	TARGET-40-PAPNVD-01A	TARGET-40-PAPWWC-01A	TARGET-40-PAPXGT-01A	TARGET-40-PARBGW-01A	TARGET-40-PARDAX-01A	TARGET-40-PARFTG-01A	TARGET-40-PARGTM-01A	TARGET-40-PARJXU-01A	TARGET-40-PARKAF-01A	TARGET-40-PASEBY-01A	TARGET-40-PASEFS-01A	TARGET-40-PASFCV-01A	TARGET-40-PASKZZ-01A	TARGET-40-PASNZV-01A	TARGET-40-PASRNE-01A	TARGET-40-PASSLM-01A	TARGET-40-PASUUH-01A	TARGET-40-PASYUK-01A	TARGET-40-PATAWV-01A	TARGET-40-PATEEM-01A	TARGET-40-PATJVI-01A	TARGET-40-PATKSS-01A	TARGET-40-PATMIF-01A	TARGET-40-PATMPU-01A	TARGET-40-PATMXR-01A	TARGET-40-PATPBS-01A	TARGET-40-PATUXZ-01A	TARGET-40-PAUBIT-01A	TARGET-40-PAUTWB-01A	TARGET-40-PAUTYB-01A	TARGET-40-PAUUML-01A	TARGET-40-PAUVUL-01A	TARGET-40-PAUXPZ-01A	TARGET-40-PAUYTT-01A	TARGET-40-PAVALD-01A	TARGET-40-PAVCLP-01A	TARGET-40-PAVDTY-01A	TARGET-40-PAVECB-01A
AAAS	2.77505054	3.316942191	3.865819861	2.994779	3.43666824	3.592899	3.072688936	2.492237764	3.609707691	3.55962641	3.223144488	3.616204761	3.593760107	3.754812694	3.670206	2.818973	3.59184694	2.607863	3.892867	3.712342654	3.844164672	3.306655966	3.456530198	4.217750303	2.895419	4.54963221	2.966448925	3.611184186	2.738551687	3.968708259	3.765948401	5.307825576	4.563280181	3.171959369	3.479813	3.621044	3.463897055	3.471383	3.039770093	3.808786602	3.017013258	3.388960973	4.239283465	3.516897645	3.556919836	3.310252858	3.651281	4.11275017	4.401125	3.897521	2.974694497	3.606536983	3.470601938	3.308681231	3.057311628	3.212102372	3.512429178	4.187522316	2.91201747	2.753411993	3.43432131	3.102641336	3.422165709	4.113275428	3.115249698	3.842797855	3.764186894	3.695604144	3.542344733	3.880637	3.45497863	3.453596593	3.04260932	3.624252996	3.738313884	3.5935211	3.295282215	2.956558534	3.875445885	3.013783815	3.363409404	2.647752	2.901629605	3.949292129	2.63605613
ACADS	2.87524927	3.215927048	2.777935153	2.810093	4.190907162	3.07051	2.777577522	1.929753131	3.597614599	2.611125155	3.053441554	2.852737979	3.115898867	2.568032105	2.563207	2.990556	1.78947887	2.388933	2.774671	2.12535354	2.398076692	2.687396681	2.989738492	2.640805996	2.175908	3.554085355	3.237946061	3.193992467	2.240863823	2.83051901	2.436428388	2.66104267	3.63520878	2.472123802	2.140746	2.968754	2.368935932	2.375512	2.419808529	2.86894352	2.386810946	1.919873962	2.685155252	2.944165036	2.372562128	3.065141438	1.828388	2.29666297	2.723143	3.452358	1.662251082	2.098655361	2.166008383	2.923244279	1.821465324	3.112950289	2.750585068	2.52614395	2.51903861	2.469651584	2.165493939	2.21421808	3.201822027	2.834994307	3.131688251	1.91850073	2.416164165	1.793562995	2.822668972	2.799999	2.522332005	2.415542354	2.216982489	1.797801574	2.902324461	2.88211478	2.72141641	3.806375618	2.697017585	1.912534905	2.116996795	3.023397	2.66766509	1.603359292	2.072723231
ACTR1A	4.75915583	5.205498084	4.178603109	4.185787	4.63815495	3.865186	4.732263772	4.073494648	5.070981742	4.563420526	5.01236307	5.435535256	4.905788918	4.879916471	4.722411	4.434595	5.121728281	4.31228	5.659719	4.900625333	4.924855249	4.53812218	5.462026135	5.080124654	5.25159	5.943876798	5.309823741	5.742706902	4.824289251	4.828149181	4.881253481	4.730906191	5.210034226	4.230564257	4.646503	5.471526	4.674048168	4.724579	4.016059452	5.182835289	4.993425287	4.112474955	5.268950833	5.09394463	5.020671094	4.616040043	5.330067	4.39655683	5.849982	5.804807	5.11053029	5.168212789	5.677223509	5.512738883	4.263620382	4.841223407	4.504353437	4.223013162	4.975529308	3.823341762	4.796358946	4.841208308	4.990687166	5.097560234	5.074201418	4.406264541	6.046248757	5.073845934	5.569828273	5.146024	5.331436513	5.622517508	4.625036646	5.298163404	4.832322949	4.8254244	4.714893898	3.72759377	4.744817695	4.676019113	4.525273357	4.178547	4.973464335	5.606069069	4.036661573
ACTR1B	3.5672412	3.758004628	3.923434458	3.814202	4.04491864	3.556466	4.3276227	4.696489098	4.237907832	3.446163577	3.945888574	4.224850636	5.073546061	4.486624282	3.248246	3.759326	3.766181692	3.318577	4.055274	2.6696391	4.788069667	4.164279444	4.778308468	4.29810107	5.366543	4.651401915	3.772244623	4.70683442	3.557961427	3.810083156	3.6927731	4.26560192	4.095299961	4.056704904	4.12944	4.049352	4.163595338	4.143148	3.187862741	4.064210311	3.708275539	4.209928987	4.90303827	5.103271021	3.437880214	4.431836875	4.257463	5.14197632	4.230426	3.881028	2.985955755	3.084557555	3.654996836	4.288343796	3.952249686	3.970098986	3.46320392	5.51516681	3.596601257	2.638212885	3.442678148	3.460781874	5.000202865	4.025950124	4.035447961	4.775040003	3.891730247	4.860481157	3.46100461	3.893954	3.996596639	4.262951749	4.263019378	3.930831937	5.023632391	4.073940167	3.005202345	4.256633295	5.209484559	4.120476362	3.417987498	4.60521	3.694089	4.859432909	3.951419943
ACTR8	1.74674272	2.688784619	2.130996745	2.431275	2.849298752	2.114267	2.630708331	2.267445908	2.374232687	2.151144434	2.415893845	2.205705292	2.216547989	3.177854025	2.541886	2.633478	2.244491329	2.539531	2.626976	3.016549805	3.006172332	2.87530826	2.705579862	2.19023557	3.102625	2.436694888	3.14357301	2.379953597	2.454202219	2.891710807	2.021017707	2.251537324	2.605541743	2.517603255	2.585491	2.10598	2.677733734	2.668732	2.565158452	2.43464157	2.882506109	2.944820973	2.299654956	2.655306028	2.97094566	2.40819555	2.685155	2.07782406	2.320629	2.5859	2.894390953	2.248899107	2.636288194	2.710238885	0.895612845	3.045774948	2.24701605	3.227787276	2.863165371	2.551540626	2.899310998	3.631872584	2.267296078	2.472097801	2.671316021	3.675127156	2.994036575	2.903250416	2.21881216	2.462942	2.739005565	2.97707839	3.176482354	2.831998811	2.848457694	2.490595801	2.228079841	2.807787666	1.959139534	1.912994691	0.798340891	2.504061	1.726046456	5.045635177	2.774017417
AHI1	2.63721608	1.211572959	2.159855195	1.726395	2.147306699	2.172263	1.791772404	1.572113556	2.417893011	1.672787385	1.929071364	1.578552333	2.464433026	1.736171894	1.363395	1.863066	1.181293413	1.982911	1.53067	2.133990879	1.683651545	1.506043319	1.155619721	1.149194319	2.094743	0.294076649	1.447103068	1.417866014	1.789228446	2.256769143	1.599365407	1.460218329	1.55645394	1.818155217	2.127699	1.424492	1.683561722	1.638445	1.910732662	2.524966332	1.69157883	1.432157687	1.179702123	1.140974927	1.634407402	1.435681927	1.716069	1.96247499	1.191184	1.341018	1.017779413	1.783708083	1.390777727	1.676312548	1.232169543	1.536152393	1.152507948	2.349110462	1.425888934	1.681809051	1.602029225	1.705624094	2.798340891	1.340505301	1.759454145	2.641083553	1.435521921	2.30745767	1.438559007	1.401903	1.542208514	2.614898265	2.141988573	2.3918227	1.385927957	1.15367565	1.299420514	2.174310534	1.134680951	1.286171451	1.046910083	2.997274	1.283625501	1.547104291	1.128161401
AK5	2.50187221	3.481273105	2.005292186	1.567594	1.142217362	0.1183597	4.237250121	0.95188615	0.347892388	3.753433388	2.3822799	2.953432876	2.97784773	2.454754961	2.608076	0.8170502	3.276958135	3.416826	3.612577	1.735132207	3.841681331	3.513743385	1.681134379	2.952128518	1.537495	2.149779631	1.430017587	1.673782534	1.007410813	2.506627329	1.809949439	3.365846484	1.105812151	3.54348351	2.319155	2.947666	3.06589969	3.526131	1.746097744	1.445196982	1.707082992	1.776019741	2.878372225	3.738681381	1.178109076	3.759006655	1.388024	2.00845103	3.214715	3.436762	1.905966975	3.057120971	2.404903122	3.69798505	0.818523382	3.872267329	3.670862991	0.87034499	2.777535442	3.13707721	3.381061828	2.915042791	2.561912628	2.369215194	2.182406272	2.806055912	3.440739631	2.217633994	2.163885117	3.460035	2.775092694	3.796120099	3.887242553	4.588972424	3.077413924	2.845068471	2.925372849	2.433119698	2.717298052	2.913320284	3.852747965	1.756767	2.730226922	3.360518793	1.407896549
AKAP11	2.7540537	2.472331796	2.626322315	2.475733	2.552672171	2.099598	3.474384123	1.968864898	2.176418524	2.33745421	1.975556821	2.421155961	2.008988783	2.379759569	1.972141	2.437681	2.25939302	2.308681	0.8806463	2.253414493	1.95928794	1.856587375	2.043764442	1.025383221	2.33831	0.602076748	1.486714373	1.999819652	3.176562138	1.493032418	1.659924558	2.421775357	0.878136767	2.096801582	1.83459	1.709732	2.798216451	1.727659	1.926796477	2.100405837	1.91735537	2.090379227	2.13917477	1.623539152	1.495388174	2.46383168	1.831918	2.34195729	1.503094	2.405557	1.980098439	1.973133665	2.236125201	2.86710573	1.821057079	2.896853073	2.149487005	2.386728189	2.036890111	2.384878704	2.186246986	2.517326092	2.817746035	1.099429872	2.851579156	2.831917766	2.389263924	2.63916269	2.495183478	2.303518	2.978049156	2.372311377	3.08106688	2.368489001	1.952221725	2.050710642	1.396707521	2.548436625	1.738767837	1.436801474	1.54823932	1.374789	1.929109248	2.476744584	1.943883829
AKAP9	2.25459404	1.405284449	2.184280294	1.932893	1.326767425	2.447897	2.370387504	1.133432007	1.998773188	1.448108044	1.514097005	1.556552036	2.683090058	2.061154063	1.433654	2.790751	1.903925216	2.377707	1.064124	2.503577716	1.619037321	1.150884571	1.238175419	0.901726133	3.233305	0.765365008	2.233765377	1.679874148	2.45001029	2.16812853	2.375039431	1.671882107	0.966578126	2.172423508	1.639371	2.094945	2.073820233	1.640158	2.116664178	1.890368865	3.412388625	2.180402507	2.152864846	0.98170655	1.052485453	1.557826675	2.203514	2.3554392	0.6807744	1.654481	0.983458812	2.69574889	1.29007047	2.728007558	1.881938647	1.743687297	2.599960435	3.318548233	1.532067552	2.861836292	2.102154192	1.964509533	2.639185848	1.387693396	1.825297185	2.785466854	2.349591743	2.419997245	2.190520047	2.090955	2.161952159	1.651040207	2.473215434	3.00032457	1.784336461	2.047573287	1.017351842	3.372715343	1.686612577	1.654527196	2.084302426	1.958397	1.934176782	1.320195821	2.379177329
AKNA	2.90785207	1.411372008	2.193803277	1.746227	1.439729507	2.35143	1.899717023	2.05630606	2.028533792	1.44905948	2.743859605	2.567277716	2.66537003	2.545004604	1.816886	2.711759	1.699329526	1.363956	1.139404	0.72377697	1.976400298	1.536102647	2.392015112	1.715410195	0.6026469	1.999603204	1.933459333	1.548189989	1.589379995	1.840040183	1.770152459	1.828672198	0.827412574	1.591583681	1.954382	1.408277	1.782198856	1.041173	1.664073184	1.460270761	2.408521663	2.200002066	2.349478515	1.767739536	1.52717045	2.333738573	1.427767	2.27384408	1.420833	1.839113	1.156202432	1.574343754	1.641546029	0.843983844	1.482745045	1.63895425	2.336940307	2.083928155	2.528321263	2.144013729	1.915559143	1.381061828	2.377595776	2.87530826	2.911403973	1.77074449	1.680189309	1.444136957	1.769348599	2.115133	1.879901771	1.608620024	1.624100895	1.347438889	2.98928436	2.361347278	1.587124922	3.114450319	1.198745582	1.442651611	1.78014209	1.821465	2.031183435	1.354621415	2.509290462
